album,artist,role,contribution

Doolittle,Joey Santiago,Band Member,Lead Guitar
Doolittle,Kimberly Ann Deal (Kim Deal),Band Member,Bass guitar, backing vocals, slide guitar and music
Doolittle,Charles Thompson IV (Frank Black),Band Member,Guitar, vocals, music & lyrics
Doolittle,David Lovering,Band Member,Drums, lead voc
Arches and Aisles,Rebecca Gates,Band Member,Vocals, Piano, Organ, Mellotron, Keyboards, Bass
Arches and Aisles,Joanna Bolme,Guest Musician,Guitar, Bass, Organ, Moog2-6, 9, 10)
Arches and Aisles,Jerry Busher,Guest Musician,Drums, Percussion1-6, 9, 10)
Arches and Aisles,Doug Easley,Guest Musician,Bass, Organ2, 5)
Arches and Aisles,Joshua Abrams,Guest Musician,Electric Bass, Double Bass9, 11)
Arches and Aisles,John McEntire,Guest Musician,Drums, Keyboards, Percussion, Bass1, 8) Recording1) Mixing1, 8, 10)
Arches and Aisles,Sam Prekop,Guest Musician,Vocals8)
Arches and Aisles,Loren Barr,Guest Musician,Bass, Casio1)
Arches and Aisles,Jeff Lane,Guest Musician,Percussion3)
Beheaded,Matt Kadane,Band Member,Guitar, Vocals
Beheaded,Bubba Kadane,Band Member,Guitar, Vocals3, 5, 8)
Beheaded,Tench Coxe,Band Member,Guitar
Beheaded,Kris Wheat,Band Member,Bass
Beheaded,Trini Martinez,Band Member,Drums
For Respect,Damon Che,Band Member,Drums
For Respect,Pat Morris,Band Member,Bass
For Respect,Ian Williams,Band Member,Guitar
For Respect,Mike Banfield,Band Member,Guitar
The Sea and Cake,Sam Prekop,Band Member,Vocals, Guitar
The Sea and Cake,Archer Prewitt,Band Member,Guitar
The Sea and Cake,Eric Claridge,Band Member,Bass, Backing Vocals
The Sea and Cake,John McEntire,Band Member,Drums, Putney Synth2, 7)
The Sea and Cake,Brad Wood,Guest Musician,Perucssion1, 5, 8 Backing Vocals1 Soprano Saxophone2 Drums5, 7, 8 Marimba5 Tenor Saxophone6, 10 Organ10 Recording, Mixing
The Sea and Cake,Casey Rice,Guest Musician,Guitar6, 9)
Nassau,Sam Prekop,Band Member,Vocals, Guitar
Nassau,Eric Claridge,Band Member,Bass, Piano
Nassau,Archer Prewitt,Band Member,Guitar, Organ
Nassau,John McEntire,Band Member,Percussion, EMS VCS3, Organ, Electric Piano, Recording, Mixing
Nassau,Popahna 'Poppy' Brandes,Guest Musician,Cello
Nassau,Marnie Christensen,Guest Musician,Violin
The Biz,Sam Prekop,Band Member,Vocals, Guitar
The Biz,Eric Claridge,Band Member,Bass
The Biz,Archer Prewitt,Band Member,Guitar, Organ, Vibes
The Biz,John McEntire,Band Member,Drums, Electric Piano, Electro Comp 101, Farfisa, Vibes, Recording, Mixing
Oui,Sam Prekop,Band Member,Vocals, Guitar
Oui,Eric Claridge,Band Member,Bass
Oui,Archer Prewitt,Band Member,Guitars, Keyboards
Oui,John McEntire,Band Member,Drums, Percussion, Vibes, Marimba, Keyboards, Recording, Mixing
Oui,Paul Mertens,Guest Musician,Tenor Saxophone, Soprano Saxophone, Flute, Alto Flute, Clarinet, Bass Clarinet, String Arrangements, Horn Arrangements
Oui,Jeb Bishop,Guest Musician,Trombone
Oui,Susan Vöelz,Guest Musician,Violin
Oui,Alison Chesley,Guest Musician,Cello
One Bedroom,Sam Prekop,Band Member,Vocals, Guitar, Synthesizer
One Bedroom,Eric Claridge,Band Member,Bass
One Bedroom,Archer Prewitt,Band Member,Guitars, Piano, Synthesizer, Vocals
One Bedroom,John McEntire,Band Member,Drums, Percussion, Piano, Synthesizer, Recording, Mixing
One Bedroom,Mikael Jorgensen,Guest Musician,Electric Piano6, 7)
One Bedroom,John Navin,Guest Musician,Vocals10)
One Bedroom,Frank Navin,Guest Musician,Vocals10)
Everybody,Sam Prekop,Band Member,Vocals, Guitar
Everybody,Eric Claridge,Band Member,Bass, Keyboards
Everybody,Archer Prewitt,Band Member,Guitars, Vocals, Keyboards
Everybody,John McEntire,Band Member,Drums, Keyboards, Vibes, Percussion
Everybody,Ken Champion,Guest Musician,Pedal Steel
Car Alarm,Sam Prekop,Band Member,Vocals, Guitar, Keyboards
Car Alarm,Eric Claridge,Band Member,Bass
Car Alarm,Archer Prewitt,Band Member,Guitars, Keyboards, Steel Drums
Car Alarm,John McEntire,Band Member,Drums, Keyboards, Steel Drums, Percussion, Recording, Mixing
The Fawn,Sam Prekop,Band Member,None specified
The Fawn,Archer Prewitt,Band Member,None specified
The Fawn,Eric Claridge,Band Member,None specified
The Fawn,John McEntire,Band Member,None specified
Uptighty,LeRoy Bach,Band Member,Guitar, Vocals
Uptighty,E.B. Bailey,Band Member,Bass
Uptighty,Bitsy Biron,Band Member,Congas
Uptighty,Dan Bitney,Band Member,Percussion
Uptighty,Dan Fliegel,Band Member,Drums
Uptighty,Tina Wright,Band Member,Vocals
Uptighty,Marvin Tate,Band Member,Vocals
Uptighty,Jack Cassidy,Band Member,Trumpet
Uptighty,Amalea 'Lea' Tshilds,Band Member,Vocals
Uptighty,Evan Coleman,Band Member,Alto Saxophone
Uptighty,Wesley Cichosz,Band Member,Tenor Saxophone
Uptighty,Dean Langston,Band Member,Bongos
Uptighty,C.J. Bani,Band Member,Organ, Clavinet, Piano
Uptighty,Brad Wood,Production or Other,Recording
Tortoise,Dan Bitney,Band Member,None specified
Tortoise,John Herndon,Band Member,None specified
Tortoise,John McEntire,Band Member,None specified
Tortoise,Douglas McCombs,Band Member,None specified
Tortoise,Ken Brown (Bundy K.),Band Member,None specified
A Digest Compendium of the Tortoise’s World,Dan Bitney,Band Member,None specified
A Digest Compendium of the Tortoise’s World,Ken Brown (Bundy K.),Band Member,None specified
A Digest Compendium of the Tortoise’s World,John Herndon,Band Member,None specified
A Digest Compendium of the Tortoise’s World,John McEntire,Band Member,None specified
A Digest Compendium of the Tortoise’s World,Douglas McCombs,Band Member,None specified
A Digest Compendium of the Tortoise’s World,Brad Wood,Production or Other,Recording5, 12 Mixing5, 12 Remix2)
A Digest Compendium of the Tortoise’s World,Casey Rice,Production or Other,Remix8)
A Digest Compendium of the Tortoise’s World,Rick Brown,Production or Other,Remix9)
A Digest Compendium of the Tortoise’s World,Steve Albini,Production or Other,Remix10)
A Digest Compendium of the Tortoise’s World,Jim O'Rourke,Production or Other,Remix15)
Millions Now Living Will Never Die,Dan Bitney,Band Member,None specified
Millions Now Living Will Never Die,John Herndon,Band Member,None specified
Millions Now Living Will Never Die,Douglas McCombs,Band Member,None specified
Millions Now Living Will Never Die,John McEntire,Band Member,None specified
Millions Now Living Will Never Die,David Christian Pajo,Band Member,None specified
TNT,Dan Bitney,Band Member,None specified
TNT,John Herndon,Band Member,None specified
TNT,Douglas McCombs,Band Member,None specified
TNT,John McEntire,Band Member,None specified
TNT,David Christian Pajo,Band Member,None specified
TNT,Jeff Parker,Band Member,None specified
TNT,Popahna 'Poppy' Brandes,Guest Musician,Cello
TNT,Caitlin Horsmon,Guest Musician,Bassoon
TNT,Julie Liu,Guest Musician,Violin
TNT,Rob Mazurek,Guest Musician,Cornet
TNT,Sarah P. Smith,Guest Musician,Trombone
Its All Around You,Dan Bitney,Band Member,None specified
Its All Around You,John Herndon,Band Member,None specified
Its All Around You,Douglas McCombs,Band Member,None specified
Its All Around You,John McEntire,Band Member,None specified
Its All Around You,Jeff Parker,Band Member,None specified
Its All Around You,Kelly Hogan,Guest Musician,Vocals2)
In the Fishtank 5,Dan Bitney,Band Member,None specified
In the Fishtank 5,Douglas McCombs,Band Member,None specified
In the Fishtank 5,John McEntire,Band Member,None specified
In the Fishtank 5,John Herndon,Band Member,None specified
In the Fishtank 5,Rob Mazurek,Band Member,None specified
In the Fishtank 5,Jeff Parker,Band Member,None specified
In the Fishtank 5,Katherina Bornefeld (Katrin Ex),Band Member,None specified
In the Fishtank 5,Terrie Hessels (Terrie Ex),Band Member,None specified
In the Fishtank 5,Andy Moor (Andy Ex),Band Member,None specified
In the Fishtank 5,G.W. Sok,Band Member,None specified
In the Fishtank 5,Luc Luc (Luc Ex),Band Member,None specified
Beacons of Ancestorship,Dan Bitney,Band Member,None specified
Beacons of Ancestorship,John Herndon,Band Member,None specified
Beacons of Ancestorship,Douglas McCombs,Band Member,None specified
Beacons of Ancestorship,John McEntire,Band Member,None specified
Beacons of Ancestorship,Jeff Parker,Band Member,None specified
Above the Trees,Paul Duncan,Band Member,None specified
Above the Trees,Ken Champion,Guest Musician,Pedal Steel1, 2, 3, 4, 8, 9)
Above the Trees,Tim Daisy,Guest Musician,Trap Kit1 Percussion1 Drums9 Collapsable Drums10)
