name,biography,official_link,wiki_link,band_photo

The Sea and Cake,,,,nil
Tortoise,,http://www.trts.com,,nil
A Grape Dope,,,,nil
Jim O'Rourke,,,,nil
Red Krayola,,,,nil
Bedhead,,,,nil
Collections of Colonies of Bees,,http://www.collectionsofcoloniesofbees.net,,nil
Russian Circles,,http://www.russiancircles.com,,nil
Spinanes,,,,nil
Broken Social Scene’,’’,’’,’’,nil
Don Caballero,,,,nil
Uptighty,,,,nil
Paul Duncan,,,,nil
Archer Prewitt,,,,nil
Sam Prekop,,,,nil
Heroic Doses,,,,nil
Euphone,,,,nil
Lonesome Organist,,,,nil
Brokeback,,,,nil
Pullman,,,,nil
Bastro,,,,nil
Bumps,,,,nil
5ive Style,,,,nil
Papa M,,http://www.papa-m.com,,nil
Pajo,,,,nil
Shrimp Boat,,,,nil
Gray Market Goods,,,,nil
Gauge,,,,nil
Toe,,,,nil
Aluminum Group,,,,nil
Brass Knuckles for Tough Guys,,,,nil
Tetsuo,,,,nil
Zincs,,,,nil
Piano Bread,,,,nil
Isotope 217,,,,nil
Cougar,,http://www.cougarsound.com,,nil
Eleventh Dream Day,,,,nil
Dianogah,,www.dianogah.com,,nil
Polvo,,,,nil
Coctails,,,,nil
Loose Fur,,,,nil
Menthol,,,,nil
Terminal 4,,,,nil
Vandermark 5,,,,nil
Vermont,,,,nil
Amalgamated Sons of Rest,,,,nil
Anomoanon,,,,nil
Bonnie 'Prince' Billy,,,,nil
Bonny Billy,,,,nil
Will Oldham,,,,nil
Palace Brothers,,,,nil
Palace Music,,,,nil
Big Black,,,,nil
Stereolab,,,,nil
Rainer Maria,,,,nil
Pele,,,,nil
Poster Children,,,,nil
Trans Am,,,,nil
Zwan,,,,nil
Songs:Ohia,,,,nil
Magnolia Electric Co.,,,,nil
Tar Babies,,,,nil
Tim Kinsella,,,,nil
Make Believe,,,,nil
Owls,,,,nil
Owen,,,,nil
Noyes,,,,nil
Joan of Arc,,,,nil
Ghosts and Vodka,,,,nil
Cap'n Jazz,,,,nil
American Football,,,,nil
Bonnie 'Prince' Billy & The Cairo Gang,,,,nil
Volcano Choir,,,,nil
Mice Parade,,,,nil
Litesalive,,,,nil
Disappears,,,,nil
Birdshow,,,,nil
A Tundra,,,,nil
White/Light,,,,nil
Slick Conditions,,,,nil
Cale Parks,,,,nil
Joshua Abrams,,,,nil
Cairo Gang,,,,nil
Jeremy Boyle,,,,nil
Zoo Wheel,,,,nil
Vacations,,,,nil
Pillars and Tongues,,,,nil
Birthmark,,,,nil
Sky Corvair,,,,nil
HiM,,,,nil
Dylan Group,,,,nil
Iron and Wine,,,,nil
Calexico,,,,nil
Neko Case,,,,nil
Broken Social Scene,,http://www.brokensocialscene.ca,,nil
Lord Newborn & the Magic Skulls,,,,nil
Medications,,,,nil
Paul Newman,,,,nil
Drums & Tuba,,,,nil
Ladies,,,,nil
Crime In Choir,,,,nil
Team Sleep,,,,nil
Rob Crow,,,,nil
Pinback,,,,nil
Systems Officer,,,,nil
Jet Black Crayon,,,,nil
Blktop Project,,,,nil
Bats & Mice,,,,nil
Sparklehorse,,,,nil
Telegraph Melts,,,,nil
June of 44,,,,nil
Tommy Guerrero,,,,nil
Morphine,,,,nil
Dismemberment Plan,,,,nil
Juno,,,,nil
fIREHOSE,,,,nil
Banyan,,,,nil
Dos,,,,nil
Minutemen,,,,nil
Money Mark,,,,nil
Butter 08,,,,nil
Modest Mouse,,,,nil
Jon Spencer Blues Explosion,,,,nil
Gastr del Sol,,,,nil
Russell Simins,,,,nil
Fugazi,,,,nil
PJ Harvey,,,,nil
Enon,,,,nil
Rival Schools,,,,nil
Quicksand,,,,nil
We Ragazzi,,,,nil
Mike Watt,,,,nil
The Advantage,,,,nil
Aqueduct,,,,nil
Ass Ponys,,,,nil
Imperial Teen,,,,nil
Seam,,,,nil
Hum,,,,nil
Jesus Lizard,,,,nil
Jimmy Chamberlin Complex,,,,nil
Savath & Savalas,,,,nil
Parlour,,,,nil
Shipping News,,,,nil
Boys Life,,,,nil
Braid,,,,nil
Alan Licht & Loren Mazzacane-Connors,,,,nil
National Skyline,,,,nil
The Fucking Am,,,,nil
The Fucking Champs,,,,nil
Hey Mercedes,,,,nil
Throwing Muses,,,,nil
50 Foot Wave,,,,nil
Pixies,,http://www.pixiesmusic.com,,nil
They Might Be Giants,,http://www.theymightbegiants.com,http://tmbw.net/wiki/Main_Page,nil
