id,title,year,label,label_link,catalog_no,genre,links_wiki,photo_path,media,format,compilation,release_type,record_format,release_area,tracks,description,public

1,Doolittle,1989,4AD,,,Rock Alternative,Doolittle_(album),.Doolittle.jpg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Debaser</li>\r\n<li>Tame</li>\r\n<li>Wave of Mutilation</li>\r\n<li>I Bleed</li>\r\n<li>Here Comes Your Man</li>\r\n<li>Dead</li>\r\n<li>Monkey Gone to Heaven</li>\r\n<li>Mr. Grieves</li>\r\n<li>Crackity Jones</li>\r\n<li>La La Love You</li>\r\n<li>No. 13 Baby</li>\r\n<li>There Goes My Gun</li>\r\n<li>Hey</li>\r\n<li>Silver</li>\r\n<li>Gouge Away</li>\r\n</ol>\r\n<p>&nbsp;</p>","<p>Doolittle is the second studio album from the American alternative rock band Pixies, released in April 1989 on 4AD. The album\s offbeat and dark subject material, featuring references to surrealism, Biblical violence, torture and death, contrasts with the clean production sound achieved by the then-newly-hired producer Gil Norton. Doolittle was the Pixies\ first international release, with Elektra Records acting as the album\s distributor in the United States and PolyGram in Canada.</p>",1
2,Car Alarm,2008,Thrill Jockey,www.thrilljockey.com,THRILL205,,The_Sea_and_Cake,2.the-sea-and-cake-car-alarm.jpg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Aerial</li>\r\n<li>A Fuller Moon</li>\r\n<li>On a Letter</li>\r\n<li>CMS Sequence</li>\r\n<li>Car Alarm</li>\r\n<li>Weekend</li>\r\n<li>New Schools</li>\r\n<li>Window Sills</li>\r\n<li>Down in the City</li>\r\n<li>Pages</li>\r\n<li>The Staircase</li>\r\n<li>Mirrors</li>\r\n</ol></p>",,1
3,Surfer Rosa,1988,4AD,,,Rock Alternative,Surfer_Rosa,.SurferRosa.jpg,CD,Single Disc,null,LP,,Domestic,"<p>&nbsp;</p>\r\n<ol>\r\n<li>Bone Machine</li>\r\n<li>Break My Body</li>\r\n<li>Something Against You</li>\r\n<li>Broken Face</li>\r\n<li>Gigantic</li>\r\n<li>River Euphrates</li>\r\n<li>Where Is My Mind?</li>\r\n<li>Cactus</li>\r\n<li>Tony\'s Theme</li>\r\n<li>Oh My Golly!</li>\r\n<li>Vamos</li>\r\n<li>I\'m Amazed</li>\r\n<li>Brick Is Red</li>\r\n</ol>\r\n<p>&nbsp;</p>","<p>Surfer Rosa is the first full-length album by the American alternative rock band Pixies, released in March 1988 on the British independent record label 4AD. The album\'s unusual and offbeat subject matter includes references to mutilation and voyeurism; this is augmented by experimental recording, low-fidelity production and a unique drum sound. Surfer Rosa contains many of the themes present in the Pixies\' earlier output, including Spanish lyrics and references to Puerto Rico.</p>\r\n<p>Because of 4AD\'s independent status, distribution in the United States was handled by British label Rough Trade Records; however, it failed to chart in either the UK or the U.S. \'Gigantic\' was the only single taken from the release, and only reached number 93 on the UK Singles Chart. Despite this, Surfer Rosa was re-released in the U.S. by Elektra Records in 1992, and in 2005 was certified gold by the Recording Industry Association of America.</p>",1
4,Tortoise,1994,Thrill Jockey,www.thrilljockey.com,THRILL013,Instrumental Ambient,Tortoise_(band),4.tortoise.jpeg,CD,Single Disc,null,LP,,Domestic,"<p>&nbsp;</p>\r\n<ol>\r\n<li>Magnet Pulls Through</li>\r\n<li>Night Air</li>\r\n<li>Ry Cooder</li>\r\n<li>Onions Wrapped in Rubber</li>\r\n<li>Tin Cans &amp; Twine</li>\r\n<li>Spiderwebbed</li>\r\n<li>His Second Story Island</li>\r\n<li>On Noble</li>\r\n<li>Flyrod</li>\r\n<li>Cornpone Brunch</li>\r\n</ol>\r\n<p>&nbsp;</p>",,1
6,Bedheaded,1996,Touch and Go,,TG225,,,null,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Bedheaded</li>\r\n<li>The Rest of the Day</li>\r\n<li>Left Behind</li>\r\n<li>What\s Missing</li>\r\n<li>Smoke</li>\r\n<li>Burned Out</li>\r\n<li>Roman Candle</li>\r\n<li>Withdraw</li>\r\n<li>Felo de se</li>\r\n<li>Lares and Penates</li>\r\n<li>Losing Memories</li>\r\n</ol></p>",,1
7,Collections of Colonies of Bees,1998,The Rosewood Union,,UNION020,,,null,CD,Single Disc,null,LP,,Domestic,,,1
8,Enter,2006,Flameshovel,www.flameshovel.com,DIG035,Rock Math Rock Instrumental,,8.00909.jpg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Carpe</li>\r\n<li>Micah</li>\r\n<li>Death Rides a Horse</li>\r\n<li>Enter</li>\r\n<li>You Already Did</li>\r\n<li>New Macabre</li>\r\n</ol>\r\n<p>&nbsp;</p>",,1
9,Arches and Aisles,1999,Sub Pop,,SPCD417,,,9.arches.jpg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Kid in Candy</li>\r\n<li>Greetings from the Sugar Lick</li>\r\n<li>72-74</li>\r\n<li>Leisure Run</li>\r\n<li>Love, The Lazee</li>\r\n<li>Sucker\s Trial</li>\r\n<li>Slide Your Ass</li>\r\n<li>Reach v. Speed</li>\r\n<li>Den Trawler</li>\r\n<li>Eleganza</li>\r\n<li>Heisman Stance</li>\r\n</ol></p>",,1
10,For Respect,1993,Touch and Go,www.touchandgorecords.com,TG120,,,null,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>For Respect</li>\r\n<li>Chief Sitting Duck</li>\r\n<li>New Laws</li>\r\n<li>Nick and Liqued</li>\r\n<li>Rocco</li>\r\n<li>Subdued Confections</li>\r\n<li>Got a Mile, Got a Mile, Got an Inch</li>\r\n<li>Our Caballero</li>\r\n<li>Bears See Things Pretty Much the Way They Are</li>\r\n<li>Well Built Road</li>\r\n<li>Belted Sweater</li>\r\n</ol></p>",,1
11,Uptighty,1994,Mud,,MUD003,Funk,,.uptighty.jpg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>A Summer Poem</li>\r\n<li>No Trouble on the Mountain</li>\r\n<li>If There\s Heaven Above...</li>\r\n<li>Lea\s Flute Solo</li>\r\n<li>Let\s Take it to the Lounge</li>\r\n<li>No Trouble on the MountainRemix)</li>\r\n<li>Hip Hop Poet</li>\r\n</ol></p>",,1
12,The Sea and Cake,1994,Thrill Jockey,www.thrilljockey.com,THRILL016,,,12.st.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Jacking the Ball</li>\r\n<li>Polio</li>\r\n<li>Bring My Car I Feel to Smash It</li>\r\n<li>Flat Lay the Water</li>\r\n<li>Choice Blanket</li>\r\n<li>Culabra Cut</li>\r\n<li>Bombay</li>\r\n<li>Showboat Angel</li>\r\n<li>So Long to the Captain</li>\r\n<li>Lost in Autumn</li>\r\n</ol></p>",,1
13,Nassau,1995,Thrill Jockey,www.thrilljockey.com,THRILL021,,,13.nassau.jpeg,CD,Single Disc,null,LP,,Domestic,"<p><ol>\r\n<li>Nature Boy</li>\r\n<li>Parasol</li>\r\n<li>A Man Who Never Sees a Pretty Girl that He Doesn\t Love Her a Little</li>\r\n<li>The World Is Against You</li>\r\n<li>Lamonts Lament</li>\r\n<li>Soft and Sleep</li>\r\n<li>The Cantina</li>\r\n<li>Earth Star</li>\r\n<li>Alone, for the Moment</li>\r\n<li>I Will Hold the Tea Bag</li>\r\n</ol></p>",,1
